distance x [m],distance y [m],distance z [m],angle x [rad],angle y [rad],angle z [rad]
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0020472124,0.0955569363,1.5130782655,-3.0622925758,0.2431009710,-0.0161105357
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0010396349,0.0955824016,1.5491660638,2.9091269970,0.0640773550,-0.0277517494
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0023330735,0.0969765733,1.5681369385,2.9947521687,0.1618364006,-0.0354245827
0.0019507944,0.0974231526,1.5707432693,3.1177296638,0.0101247467,-0.0248239338
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0020472124,0.0955569363,1.5130782655,-3.0622925758,0.2431009710,-0.0161105357
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0014916101,0.0967414887,1.5465029184,-3.1359169483,0.1877850741,-0.0235252976
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
0.0009447693,0.0964626831,1.5471059971,3.0193364620,0.1045820415,-0.0217338093
